# Sphero Data Output
# Each row is a time step. Units are in the header.
Time (s),X Location (mm),Y Location (mm),X Velocity (mm/s),Y Velocity (mm/s),X Acceleration (m/s^2),Y Acceleration (m/s^2),Z Acceleration (m/s^2),Pitch (deg),Yaw (deg),Roll (deg),Gyro X (deg/s),Gyro Y (deg/s),Gyro Z (deg/s)
1759700736.477282,0.0021661600840161555,0.004651466952054761,-0.008039850945351645,0.22990212310105562,-0.340262,0.653439,9.660614,-5.1042304039001465,1.5342601537704468,-1.627861738204956,-3.6117563247680664,0.27819812297821045,-2.054821252822876
1759700736.489152,0.0021661600840161555,0.004651466952054761,-0.008039850945351645,0.22990212310105562,-0.340262,0.653439,9.660614,-5.1042304039001465,1.5342601537704468,-1.627861738204956,-3.6117563247680664,0.27819812297821045,-2.054821252822876
1759700736.500199,0.0021661600840161555,0.004651466952054761,-0.008039850945351645,0.22990212310105562,-0.340262,0.653439,9.660614,-5.1042304039001465,1.5342601537704468,-1.627861738204956,-3.6117563247680664,0.27819812297821045,-2.054821252822876
1759700736.511911,0.0021661600840161555,0.004651466952054761,-0.008039850945351645,0.22990212310105562,-0.340262,0.653439,9.660614,-5.1042304039001465,1.5342601537704468,-1.627861738204956,-3.6117563247680664,0.27819812297821045,-2.054821252822876
1759700736.524434,0.0021661600840161555,0.004651466952054761,-0.008039850945351645,0.22990212310105562,-0.340262,0.653439,9.660614,-5.1042304039001465,1.5342601537704468,-1.627861738204956,-3.6117563247680664,0.27819812297821045,-2.054821252822876
1759700736.536950,0.0017274292986257933,0.009112769475905225,0.0015832792996661738,0.1440497930161655,-0.300487,0.808664,9.659874,-5.038841724395752,1.5109992027282715,-1.7637561559677124,-2.263399839401245,-0.9866988062858582,-1.966217279434204
1759700736.549465,0.0017274292986257933,0.009112769475905225,0.0015832792996661738,0.1440497930161655,-0.300487,0.808664,9.659874,-5.038841724395752,1.5109992027282715,-1.7637561559677124,-2.263399839401245,-0.9866988062858582,-1.966217279434204
1759700736.561988,0.0017274292986257933,0.009112769475905225,0.0015832792996661738,0.1440497930161655,-0.300487,0.808664,9.659874,-5.038841724395752,1.5109992027282715,-1.7637561559677124,-2.263399839401245,-0.9866988062858582,-1.966217279434204
1759700736.574507,0.0017274292986257933,0.009112769475905225,0.0015832792996661738,0.1440497930161655,-0.300487,0.808664,9.659874,-5.038841724395752,1.5109992027282715,-1.7637561559677124,-2.263399839401245,-0.9866988062858582,-1.966217279434204
1759700736.587024,0.0017274292986257933,0.009112769475905225,0.0015832792996661738,0.1440497930161655,-0.300487,0.808664,9.659874,-5.038841724395752,1.5109992027282715,-1.7637561559677124,-2.263399839401245,-0.9866988062858582,-1.966217279434204
